object,duration_s,n_windows,baseline_windows,Fs_median,Di_median,Cs_median,Dcog_median,Er_median,Vi_median,Phi_S_clean_eval_median,Phi_S_clean_eval_p10,sha256
REM618_R1,150.4,37,18,0.046380795538425446,0.4182341694831848,0.5370588302612305,0.31813663302413486,0.6975098393069504,0.1243710020534637,0.5342771935777391,0.40876732775272395,57792a47f09fc2d938746b61ca36ace0899d6e6a774976d778a8032d06b1fd12
REM618_release_candidate,150.8,37,18,0.04448975250124931,0.4558776617050171,0.523942232131958,0.3142213106596743,0.660265817092676,0.1341304895311172,0.5490298104999431,0.37891004128220684,85c4ba579d18ce40b4d72cc33f1326c05701d939605251108589aa6abe435b0f
easter_egg,219.58530612244897,54,27,0.03623178042471409,0.41793015599250793,0.5096687376499176,0.35400647063172064,0.5148914174303894,0.21497299555091215,0.7475443589865479,0.6851457047252558,9469ca3ffe5b02e2646d050e41b58ae1e3a511a867aaae7ff7b278182cbcf6ab
AELUDE,200.85115646258504,50,25,0.050178661942481995,0.3905261307954788,0.5457073450088501,0.3461765497623406,0.4533190581136627,0.23127059155192625,0.723018458423395,0.48078293896420504,3ed3ff54de18049072f96fa9a01cbd856203c314f274e60b2abd76dbfd6bd8da
BLVCK,151.0,37,18,0.04933673143386841,0.39564165472984314,0.5232921838760376,0.31996592307265914,0.6205370455491054,0.1574659410732426,0.6488085786846718,0.5381588397861826,582792ada96c338a0dbb7248bd3d74e67d942e63a7dc91f723a788b3f0788753
ED,182.43954648526076,45,22,0.0462530180811882,0.3847373425960541,0.5194557905197144,0.32148351401137276,0.5621803781651021,0.18160517782571753,0.8007146283468501,0.6211827236104536,78589a380c964340416177191412187c6bc874f1e3571ab9ccaf56165c663a2c
YNLPC,177.23079365079366,44,22,0.04247422143816948,0.39537037909030914,0.4858485758304596,0.3497470548693502,0.5356574877846468,0.19285830365497997,0.4694016638125013,0.3282488796594839,fd1fe50f676074838c56addf31f08bec557b764e7d4e2bfdf8ddf0af8f2a3535
ODIO_DECIRTELO,245.66349206349207,61,30,0.044495921581983566,0.37233421206474304,0.5299100875854492,0.306432678178049,0.6119524941736314,0.16054368969346855,0.785939028746785,0.46834304673474814,ac685005b3fe2debb633b0f8ba4cdf769c8a16503470d7a1c9aef8eb172f7c9e
111,173.07827664399093,43,21,0.036414626985788345,0.22160176932811737,0.68513423204422,0.36549595848315947,0.6137005631397696,0.1627606709430929,0.8195463545604187,0.6104800585401297,bc44a0c6eb60377a8d80223a01a336ac7d5418333fd09563b39651249476230d
QUE_NO,220.57795918367347,55,27,0.043089281767606735,0.38036105036735535,0.5417830944061279,0.34183142027841223,0.6691009457939893,0.13845308667982661,0.7848028951118973,0.46497918994645693,8ef9a4eb947f993137c06372baff4f75692baedd7f0f40f8b7814e01636d3227
